INPUT:text_first,INPUT:text_second,OUTPUT:result,CONFIDENCE:result,vote_type,vote_different,vote_some_details_lost,vote_OK,average
"There are 6 nice apartments, one of which is 215 Bayview Apartments which is located at 215 Bayview Street with 2 bedrooms and 2 baths which will set you back $2,800 each month.","There are six nice apartments, one of which is 215 Bayview Apartments.",some_details_lost,0.9999,12,1,2,0,1.666666667
Hello! Please can you find me some good medical practitioner in San Fran.,"Hey, hey! can you find some good docs in san francisco?",OK,0.9999,3,0,0,3,3
Sure thing. Please confirm the following for me: Play the song Self Control on your TV.,"Yes, that is the case. Please confirm the following: Play the song""Self Control"" on your television.",OK,0.9838,3,0,0,3,3
Great. Can you put it on my calendar now as Reservation at 71 Saint Peter?,That is a great idea. Can you please put it on my calendar now as Reservation at 71 Saint Peter?,OK,0.998,3,0,0,3,3
"That sound pretty good, Before we do anything else, I would like to use my checking account, check the balance first.",I would like to check the balance first before we do anything else.,some_details_lost,0.9999,12,0,2,1,2.333333333
Would you find round trip flights for me? I would like to leave from Atlanta to London and return on the 9th.,do you have round trip flights for me? i want to leave from atlanta to london and come back on the 9th,OK,0.9999,3,0,0,3,3
"Okay! So, at what time can you pick up the car at JFK International Airport?","ok, yea! so when can you pick up the car at jfk international airport?",OK,0.9999,13,0,1,3,2.75
yes that works.,"Yes, that is effective.",OK,0.9999,3,0,0,3,3
"Okay! Please can you confirm me that you wish to book 1 room at 1 hotel Central Park, right?","ok, yea! i think you want to book 1 room at central park.",different,0.9999,3,0,3,0,2
"Your reservation was successful, Hope you have a great time! The event is being held at Oakland-Alameda County Coliseum.",Hope you have a great time and your reservation worked out! it's being held at ohio-alameda county coliseum,some_details_lost,0.9999,12,1,2,0,1.666666667
I'm looking to rent a car. I want to rent it until the 9th and I want to pick it up at five in the evening.,I'm looking for a car. i want to rent it till the 9th and pick it up at 5 in the evening.,OK,0.9999,3,0,0,3,3
Do you have a preference? Say Music or Sports or anything else.,"Do you have a preference for your preference? You should say music, sports, or anything else.",OK,0.9917,12,0,1,2,2.666666667
It's perfect for children. You can call them on 604-662-4700.,It is perfect for kids. You can call them on the phone number 604-662-4700.,OK,0.9999,3,0,0,3,3
Please confirm the following: You would like a luxury ride for 2 to 2425 California Street# C.,You want a luxury ride for 2-2425 CA ST# C.,some_details_lost,1,3,0,3,0,2
"Let me see if I got everything correctly: You'd like to reserve 1 room at Atrium Inn Vancouver in Vancouver for 2 days, and you'll be checking in on March 7th.",Let me know if I have everything correct. You would like to reserve one room at Atrium Inn Vancouver in Vancouver for two days and you will be checking in on March 7th.,OK,0.958,12,0,1,2,2.666666667
"Ok, thank you, that is all I need.",Thank you. That is all I need.,OK,0.9952,3,0,0,3,3
Okay. You want to book 1 room at Arc The.Hotel in Washington D.C. Your stay will span from March 9th to March 14th. Do I have that down correctly?,"ok, okay... you want to book 1 room at arc the hotel in washington d.c. your stay will be from march 9 to march 14 do i have it right?",OK,1,12,0,1,2,2.666666667
"It's a Country event that will be taking place at 104 N. Ave 56, 2nd Floor.","104 N Ave 56, 2nd floor",different,0.9999,13,1,3,0,1.75
I am leaving on the 6th and plan to return on the 12th. I can leave at around 16:00.,i'm leaving on the 6th and i'm going back on the 12th i can leave around 16:00,OK,1,12,0,1,2,2.666666667
"Yes, that's exact.",That is correct.,OK,0.9824,3,0,0,3,3
Would you like to continue and purchase this bus ticker?,"if you want to buy this bus ticker, why don't you?",different,0.998,13,1,3,0,1.75
"That sounds perfect. I'd like to pick up the vehicle near 4:30 in the evening, and I require the vehicle from March 3rd.",That sounds perfectly perfect. I would like to pick up the vehicle on March 3rd.,some_details_lost,0.9954,3,0,3,0,2
"I'd like to leave on March 10th, and I'm going to Fresno, CA. Any ticket type is fine, by the way.","i'm going to fresno, ca. any ticket type is fine by the way.",some_details_lost,0.9954,3,0,3,0,2
I'd like to have it in Milpitas at 1:30 in the afternoon.,I would like to have it in Milpitas on the afternoon.,some_details_lost,0.9954,3,0,3,0,2
"Okay, so the flight's from Philadelphia with 2 passengers.",ok so the flight is from philippine with 2 passengers,different,0.9999,12,1,2,0,1.666666667
"Thats all i want, thanks",That is all I want.,OK,0.9999,3,0,0,3,3
Please confirm your request: You are booking a table for 2 people at Mijouri Sushibune in San Bruno. The reservation time is 10:45 am on March 2nd.,"if you want 2 people at mijouri sushibune in san francisco, please confirm your request. 10:45 on march 2nd.",OK,0.9999,12,0,1,2,2.666666667
Okay. I'm reserving a check-in day of tomorrow at 45 Park lane.,"Okay, I agree. I am reserving a check-in day on Saturday at 45 Park Lane.",some_details_lost,0.9891,13,0,3,1,2.25
The car has been reserved for you.,It has been reserved for you.,some_details_lost,0.9891,13,0,3,1,2.25
Please confirm this flight: 1 ticket for an Economy flight through Alaska Airlines that will leave from San Francisco and arrive in Seattle next Wednesday.,confirm this flight - 1 ticket for an economy flight from san francisco and will go to washington next week,different,0.9999,12,1,2,0,1.666666667
Wednesday next week and i want to come back on the 11th. I prefer economy.,I would like to come back on Wednesday next week. I prefer economies.,OK,0.9999,12,1,0,2,2.333333333
have a good one,You should have a good one.,some_details_lost,0.9999,12,1,2,0,1.666666667
"I found 10 you might like. You should consider visiting the Brandon Lee and Bruce Lee's Grave Site, which is a tourist attraction.",i found 10 you might like. go to the brady lee and bruce lee's grave site.,some_details_lost,0.9824,3,0,3,0,2
Confirming a reservation for 2 at China Village Restaurant on March 6th at 1:15 PM in Albany.,2 at china village on march 6th@ 1:15 in albany.,some_details_lost,0.9999,3,0,3,0,2
Can you please confirm that you want to have tickets for 3 people in the economy class for a Southwest Airlines flight from Portland to San Francisco with departure being March 12th at 3:15 pm and the return on March 14th at 11:30 pm.,Can you confirm that you want to have tickets for three people in the economy class?,some_details_lost,0.9999,3,0,3,0,2
"Can you please confirm that you want to book 1 room at Homewood Suites By Hilton Los Angeles International Airport in Los Angeles, and that you will go there on March 13th, and will be leaving the hotel on March 14th.",Can you confirm that you want to book one room at Homewood Suites by Hilton Los Angeles International Airport in Los Angeles?,some_details_lost,0.9999,3,0,3,0,2
Alright. You want to add an event to your calendar called Movie show with a time of 7 pm on March 8th and a location of 1115 Solano Avenue?,"Okay, alright. You would like to add an event to your calendar called""Movie Show"" with a time of 7 pm on March 8th and a location at 1115 Solano Avenue.",OK,0.9999,3,0,0,3,3
Conveniently there is one show at 10 pm at Century 12 San Mateo.,10 pm at century 12 san matéo,some_details_lost,0.9735,3,0,3,0,2
When are you planning to visit?,when are you gonna go?,OK,0.9999,3,0,0,3,3
I would like the Latin American food in Daly City,I'd like the latino food in Daly City.,OK,0.9999,12,0,1,2,2.666666667
"Please can you confirm me that you wish to have a shared ride for 3 people to visit CineLux Almaden Cinema, right?",Please confirm that you would like to have a shared ride for three people to visit CineLux Almaden Cinema.,OK,0.9791,3,0,0,3,3
"I am departing from Long Beach on the 14th of this month, and would like to go to SD.",i'm leaving from long beach on the 14th of this month and i wanna go to SD.,OK,0.9791,3,0,0,3,3
I would be visiting by today and will be leaving on the 13th and I would prefer rooms at Hampton Inn Portland-Airport.,"i'd be going to today and will be leaving on the 13th, but i want rooms at hampton in portland-airport",OK,0.9878,3,0,0,3,3
"Please confirm, You would like to schedule a visit to Parc Marin Apartments for the day after tomorrow.",if you want to go to park martin apartments for the day after tomorrow,OK,0.9999,13,1,0,3,2.5
I would prefer something located in San Jose and on the lines of Punjabi cuisine.,i want something in san joseph and on the lines of punjabi food.,OK,0.9878,3,0,0,3,3
"The station of your arrival is Sacramento Valley Station, and the station from where you will depart is Salesforce Transit Center.",the station where u go is california valley station and the one you're going to leave is stf.,OK,0.9517,12,1,0,2,2.333333333
Thank you for your help. Please check my balance.,thanks for your help:) check my balance :),OK,0.9948,3,0,0,3,3
Is there a particular hotel I should make a reservation in and what city should I look in? How many days do you want to stay?,Is there a particular hotel that I should make a reservation in? What city should I look for? How many days would you like to stay?,OK,0.9999,12,0,1,2,2.666666667
I have a plan to eat outside for which I need your help to find some nice places with fancy prices in San Francisco.,I have a plan to eat outside for which I need your help.,some_details_lost,0.9999,3,0,3,0,2
"No, sorry, change of plans. I will have 2 people in my group, and we will be leaving from Seattle, WA.",no sorry change of plans. i will have 2 people in my group and we'll be leaving from Seattle WA,OK,0.9884,3,0,0,3,3
You're welcome! Have a good day!,You are welcome. I wish you a good day.,OK,0.9884,3,0,0,3,3
What is your interested category of food and in which City do you like to search for?,what kind of food do you want to search for and in what city?,OK,0.9884,3,0,0,3,3
I'll need 4 tickets for a bus leaving Sacramento at 1 in the afternoon.,i need 4 tickets for a bus leaving california at 1 in the afternoon.,some_details_lost,0.9999,12,1,2,0,1.666666667
Hello! I wish to have tickets in the bus that is departing from Long Beach at morning 8:45 and reaching SD.,"Hello, hello! I would like to have tickets in the bus that departs from Long Beach at 8:45 p.m.",some_details_lost,0.9812,3,0,3,0,2
Perfect. Can you reserve a table for one there? Make it or 4:30 in the evening.,It is perfect. Could you reserve a table for one there? Make it or make it in the evening.,some_details_lost,0.9665,3,0,3,0,2
I found 10 hotels. What about Best Western of Long Beach? It is rated 3.9.,I have found ten hotels. What is the best Western of Long Beach? The rating is 3.9.,OK,0.9999,12,1,0,2,2.333333333
"Where did you want to pick the car up from, when did you need the car, and until what date did you want it?",Where did you want to pick the car up?,some_details_lost,0.9999,12,1,2,0,1.666666667
I would like to reserve a car from March 9th until March 11th and pick it up at 3 pm.,i wanna reserve a car from march 9 to march 11 and pick it up at 3 pm,OK,0.9999,3,0,0,3,3
I would like help with finding entertaining events for Friday next week in Games,i would like to find some fun for friday next week in games.,OK,0.9999,3,0,0,3,3
"There are 9 hotels which you might like, one of which is a 3 star hotel called Best Western Plus Bayside Inn.","There are nine hotels that you might like, including a three star hotel called Best Western Plus Bayside Inn.",OK,0.9927,3,0,0,3,3
Please confirm to make a note of an event in the name Reservation at Amelie San Francisco and its time as 12 pm for the date March 1st and its location is 1754 Polk Street.,"Please confirm to make a note of an event in the name Reservation at Amelie San Francisco, and it is time for the first date on March 1st.",some_details_lost,0.9974,3,0,3,0,2
Yes. What type of song is this?,"yea, yeah. what kind of song is this?",OK,0.9973,3,0,0,3,3
Please confirm you are picking up a Compact car on March 10th at 2 pm from SFO International Airport and returning on March 11th.,if you are picking up a compact car on march 10 at 2 pm from sfo international airport and coming back on march 11,OK,0.9999,12,1,0,2,2.333333333
Would you confirm this: You are a party of 2 and would like to go to 2306 Almaden Road. A shared ride is preferred.,Would you confirm that you are a party of two and would like to go to 2306 Almaden Road? I prefer a shared ride.,OK,0.9999,3,0,0,3,3
"Good to know. Can you get me a bus that gets there? Keep in mind I intend on leaving Fresno, CA on Monday next week.","good to know get me a bus that gets there? keep in mind i'm going to leave Fresno, CA on monday next week.",OK,0.991,12,0,1,2,2.666666667
I would like tickets for the Lyfe Jennings show on the 6th of March. I'm told that he is a great artist.,i want tickets to the lyfe jennings show on march 6th I'm told he's a great artist.,OK,0.991,12,0,1,2,2.666666667
"Table all booked for you! Unfortunately no live music, but I can get the address for you. They're at 1505 Space Park Drive.",table all booked for u! no live music but i can get the address for you they're at 1505 space park drive,OK,0.991,12,0,1,2,2.666666667
"I need a car on 13th of March at 1 o""clock in the afternoon from San Diego.",I need a car on the 13th of March from San Diego.,some_details_lost,0.9999,12,0,2,1,2.333333333
I want to book the Taste of Burma restaurant for 2 persons. Can you help me?,I would like to book the Taste of Burma restaurant for two people. Can you assist me?,OK,0.9855,3,0,0,3,3
Unfortunately I could not make it at that time. Instead of which Shall I book the tickets for the leaving time at 5:20 pm for which the ticket cost is $48?,"Unfortunately, I was unable to make it at that time. Instead of what, shall I book the tickets for the leaving time at 5:20 pm.",some_details_lost,0.9996,3,0,3,0,2
I found 1 movie you may like. How does Viva Las Vegas sound?,I found one movie that you may enjoy. How does Vive Las Vegas sound?,OK,0.9855,3,0,0,3,3
"Please can you confirm me that you wish to add the event Stylist visit that is scheduled at 1532 20th street on March 10th in the time slot of 2 pm, right?",Please confirm that you would like to add the Stylist visit on March 10th at 1532-20th Street.,some_details_lost,0.9996,3,0,3,0,2
Yes that's correct. What bus station does it arrive at? What bus station will I leave from?,yeah thats right. what bus station does it get at? what bus station will i go to?,OK,0.9999,3,0,0,3,3
I am looking for things to do in Livermore on the the 9th of this month. I like Pop events.,I am looking for something to do in Livermore on the 9th of this month. I enjoy pop music.,OK,0.9999,3,0,0,3,3
I would like to continue searching. Can you locate a comedy directed by Peter Farrelly?,i want to keep looking. can u find a comedy by peter farrelly?,OK,0.9999,3,0,0,3,3
"Not now, thanks. I need a house to stay there, a house with rating 4.1 or higher, for 1 people, with laundry service.","Thank you for the information. I need a house to stay there, a rating of four or more.",some_details_lost,0.9999,3,0,3,0,2
"Got it. Are you ready to confirm a Luxury ride for 2 passengers, going to 343 Rheem Boulevard?",I have it. Are you ready to confirm a luxury ride for two passengers?,some_details_lost,0.9948,3,0,3,0,2
When do you want to pick it up?,when do u wanna pick it up?,OK,0.9999,3,0,0,3,3
"Yes, I want to have a table booked at this restaurant for evening 4:30.","Yes, I would like to have a table booked at this restaurant for the evening.",some_details_lost,0.9948,3,0,3,0,2
From 16:30 March 9th until March 12th.,16:30 March 9- 12,OK,0.9999,3,0,0,3,3
No. I will buy the tickets later.,"no, no. i'll buy the tickets later.",OK,0.9999,3,0,0,3,3
I am going to Vegas on the 3rd of this month and hope to get back on the 14th. I prefer American Airlines,"i'm going to Vegas on the 3rd of this month and hope to get back on the 14th i like american airlines, but i prefer it.",OK,0.9999,12,0,1,2,2.666666667
Sure! Where is your location?,"Yes, it is. What is your location?",OK,0.9999,12,0,1,2,2.666666667
It starts at 7:30 pm and your reservation is made successfully for the event.,it starts at 7:30 pm and your reservation works out!,OK,0.9999,12,0,1,2,2.666666667
Genre?,Genre: Genre: Genre: Genre: Genre: Genre: Genre: Genre: Genre: Genre: Genre?,OK,0.9999,13,1,0,3,2.5
Okay. You want to get 2 economy tickets for the bus that leaves at 7 am on March 1st for a trip from San Francisco to Los Angeles?,"Okay, I agree. You would like to get two economy tickets for the bus that leaves at 7 am on March 1st.",some_details_lost,0.9999,3,0,3,0,2
No I just talked to my mother-in-law we will only be able to stay 2 days the check out should be for the 2nd of this month.,"No, I just talked to my mother-in-law and we will only be able to stay two days.",some_details_lost,0.9999,3,0,3,0,2
1 room at Beck'S Motor Lodge located in San Francisco for 2 days checking in on March 11th. Is that correct?,"One room at Beck's Motor Lodge, located in San Francisco for two days. Is this correct?",some_details_lost,0.9999,3,0,3,0,2
"Sure, please confirm your reservation for 3 flexible tickets for the bus ride travelling from Fresno to Las Vegas on March 12th at 8:50 am.",yes u can get 3 flexible tickets from freno to las vegas march 12 at 8:50,some_details_lost,0.9978,3,0,3,0,2
I'm going to travel from Chicago. I want to leave today and return next Wednesday. And it's just for 1 person.,I'm gonna go to chicago. i want to leave today and come back next wed. and its just for 1 person.,OK,0.9961,3,0,0,3,3
It is good. Please help me in finding a rental car there? I need it from LA and it has to pick up me at 1 in the afternoon. I need it up to 14th of March.,It is a good thing. Please assist me in finding a rental car there. I need it from Los Angeles and it has to pick up me at 1 in the afternoon. I need it by the fourteenth of March.,OK,0.9999,3,0,0,3,3
Huskies Vs Cougars is taking place at Husky Stadium at 8 pm on March 5th.,Huskies Vs Cougars is taking place at Husky Stadium on March 5th.,some_details_lost,0.9882,3,0,3,0,2
"I'm sorry, I was unable to book those tickets for you. I can do 11:20 am however. A tickets costs$12.","I apologize, I was unable to book those tickets for you. I can do it at 11:20 a.M. A ticket costs twelve dollars.",OK,0.9999,12,0,1,2,2.666666667
"There are 9 attractions that fit your interests. You should look at Aquarium of the Bay, it's a Nature Preserve.",There are nine attractions that suit your interests. You should look at the Aquarium of the Bay because it is a nature preserve.,OK,0.9929,3,0,0,3,3
"Hi, I'm interested in making a restaurant reservation.","Hello, I am interested in making a reservation at a restaurant.",OK,0.9936,3,0,0,3,3
"Perfect, thanks. Now let's find me a thriller movie in 3d to wath on that day in the area.","Thank you for that. Now, let's find a thriller movie in 3D to wath on that day in the area.",OK,0.9936,3,0,0,3,3
confirm Heathrow international airport and the pickup is March 5th and you can get a car at 12:30 pm and the drop off is March 11th and it is a standard car,The pickup is at Heathrow International Airport and the drop off is on March 11th.,some_details_lost,1,12,1,2,0,1.666666667
I would be leaving SD from San Francisco for Thursday next week.,I would be leaving San Francisco for the next week.,some_details_lost,0.9999,3,0,3,0,2
The price will be moderate and they will not supply liquor. Your booking was confirmed there.,"they'll not have a liquor, but the price will be moderate. u got your booking there.",OK,0.9999,3,0,0,3,3
"I see, thank you!",i see thanks for you!,OK,0.9751,3,0,0,3,3
That suits me well. Can you tell me the time when the flight will arrive in the destination? Can you check if the ticket is refundable?,i think thats what I like. can u tell me when the flight will come? can you check if the ticket is refundable.,OK,0.9751,3,0,0,3,3
Please confirm the following: You would like a luxury ride to Locanda for 1.,if you want a luxury ride to locanda for 1.,some_details_lost,0.9525,12,0,2,1,2.333333333
Sure. Just to confirm: You want a table for 2 at Effie's Restaurant& Bar in Campbell at 1 pm on March 4th.,"Yes, yes. Just to confirm that you would like a table for two at Effie's restaurant and bar in Campbell on March 4th.",some_details_lost,0.9599,12,0,2,1,2.333333333
"Yes, thats alright",That is alright.,OK,0.9851,3,0,0,3,3
"The address of the hotel is 100 Shoreditch High Street, and it will cost you$480 in total.","100 Shoreditch High Street, and it'll cost you$480 total.",some_details_lost,0.9811,12,0,2,1,2.333333333
I'm looking for interesting things to do in Berkeley.,i'm looking for interesting things to do in california,different,0.9999,12,1,2,0,1.666666667
Thanks for your valuable help,thanks for your help :-),OK,1,3,0,0,3,3
"To confirm: You want to ad an event to your calendar for March 1st, 11:30 am at 542 A Mason Street., called Restaurant reservation at Akiko's Sushi Bar. Is this correct?","To confirm, you would like to advertise a restaurant reservation at Akiko's Sushi bar on March 1st. Is that correct?",some_details_lost,0.9659,12,1,2,0,1.666666667
would you like to reserve a table,Would you prefer to reserve a table?,OK,0.9999,3,0,0,3,3
"There are 2 restaurants available, one of which is Bask which is located in San Francisco.",There are two restaurants available in San Francisco.,some_details_lost,0.9999,3,0,3,0,2
"Yes, there are 9 houses available. There is one with a 3.8 rating which is located at 100-15 Ditmars Boulevard, East Elmhurst, NY 11369, USA.",yeah there are 9 houses out there. 100-15 Ditmars Boulevard East Elmhurst NY 11369 USA,some_details_lost,0.9999,3,0,3,0,2
I would like an apartment in SF with four bedrooms.,I would like to have an apartment in San Francisco with four bedrooms.,OK,0.9999,3,0,0,3,3
Want to rent it?,Would you like to rent it?,OK,0.9999,3,0,0,3,3
What date do you want to watch the movie?,what date do u wanna watch the movie?,OK,0.9999,3,0,0,3,3
please confirm you want to watch Stockholm with subtitles,if you want to watch sweden with subtitles please confirm that.,different,0.9999,12,1,2,0,1.666666667
i will be departing from Anaheim to Los Angeles on 5th of this month,i'm going from anaheim to los angeles on the 5th of this month.,OK,0.9999,3,0,0,3,3
Please confirm a flight from Portland to Los Angeles from Delta Airlines departing March 10th and returning March 13th leaving 9:35 am and returning 6:50 am for 1 passenger Economy.,Please confirm a flight from Portland to Los Angeles from Delta Airlines departing March 10th and returning March 13th at 9:35 AM for one passenger.,OK,0.9999,12,0,2,1,2.333333333
"Okay, how long will you need it for?",How long will you need it for?,OK,0.9999,3,0,0,3,3
Yup! there are 8 hotels. Do you have a plan to stay at 6 Columbus Hotel which have a rating of 4.0?,"Yes, you are correct. There are eight hotels in the area. Do you have a plan to stay at 6 Columbus Hotel, which has a rating of 4.",OK,0.9999,3,0,0,3,3
Thanks much for the help. Please can you add this event in my calendar in the slot 6:30 in the evening.,Thank you for your assistance. Please add this event to my calendar.,some_details_lost,0.9999,3,0,3,0,2
Please confirm you request: You want a shared cab for 2 people to 426 Emily Rose Circle.,you want a shared cab for 2 people to 426 elizabeth rose circle,some_details_lost,0.9965,3,0,3,0,2
"What do you think of Dumbo, How to Train Your Dragon: The Hidden World or Little?",Dumbo - How to Train Your Dragon: The Hidden World or Little?,different,0.9999,12,1,2,0,1.666666667
You want 1 ticket to attend the Erica Fernandez event on March 9th. Is that correct?,you want 1 ticket to go to the erica ferrandez event on march 9th. Is it right?,OK,0.9999,3,0,0,3,3
"I need to find a rental car, which I will pick up around 1 in the afternoon from San Jose, and I will need it till 9th of this month.",i need to find a rental car that will pick up like 1 in the afternoon from san jose and i'll need it till 9th of this month,OK,0.9999,3,0,0,3,3
drop it off march 11th,You should leave it off March 11th.,OK,0.9999,3,0,0,3,3
There is s portland thorns vs houston game at providence park on March 13th at 8:30 pm. How does that sound?,s portland thorns vs houston game on march 13 at 8pm how does it sound?,some_details_lost,0.9999,12,0,2,1,2.333333333
What station is the bus going to?,Where is the bus going?,OK,0.9999,3,0,0,3,3
That sounds really great. When am I free next Friday?,That sounds very good. When am I free next week?,some_details_lost,0.9999,12,0,2,1,2.333333333
"Could you tell me several attractions to go to, preferably in SFO?",can you tell me a few things to go to...preferably in sFO?,OK,0.9999,12,0,1,2,2.666666667
Like about a regular movie to watch at the Stanford theatre that's Romantic,It is similar to a regular movie that you can watch at the Stanford Theatre.,some_details_lost,0.9999,12,0,2,1,2.333333333
"Their address is 740 Water Street Southwest, Washington, District of Columbia 20024, United States and it starts at 7 pm.","Their address is 740 Water Street Southwest, Washington, District of Columbia, 2002.",some_details_lost,0.9921,12,1,2,0,1.666666667
To confirm then that is 2 economy tickets flying with Delta Airlines from Atlanta to Vancouver on March 12th to March 14th leaving at 3:20 pm returning at 2:50 am.,"To confirm, there are two economy tickets flying with Delta Airlines from Atlanta to Vancouver on March 12th and 14th.",some_details_lost,0.9999,12,0,2,1,2.333333333
I'm traveling from Washington to Philadelphia and I'd like to return on the 13th.,I'm going from Washington to Philadelphia and i want to go back on the 13th,OK,0.9854,3,0,0,3,3
"OK, confirming 3 tickets for the game in Philadelphia.","ok, confirm 3 tickets for the game in philippine.",some_details_lost,0.9932,13,0,3,1,2.25
